series_id,area_code,item_code,seasonal,periodicity_code,base_code,base_period,series_title,footnote_codes,begin_year,begin_period,end_year,end_period
CUSR0000SA0,0000,SA0,S,R,S,1982-84=100,All items in U.S. city average
CUSR0000SA0E,0000,SA0E,S,R,S,1982-84=100,Energy in U.S. city average
CUSR0000SA0L1,0000,SA0L1,S,R,S,1982-84=100,All items less food in U.S. city average
CUSR0000SA0L12,0000,SA0L12,S,R,S,1982-84=100,All items less food and shelter in U.S. city average
CUSR0000SA0L12E,0000,SA0L12E,S,R,S,1982-84=100,All items less food
CUSR0000SA0L12E4,0000,SA0L12E4,S,R,S,1982-84=100,All items less food
CUSR0000SA0L1E,0000,SA0L1E,S,R,S,1982-84=100,All items less food and energy in U.S. city average
CUSR0000SA0L2,0000,SA0L2,S,R,S,1982-84=100,All items less shelter in U.S. city average
CUSR0000SA0L5,0000,SA0L5,S,R,S,1982-84=100,All items  less medical care in U.S. city average
CUSR0000SA0LE,0000,SA0LE,S,R,S,1982-84=100,All items less energy in U.S. city average
CUSR0000SA311,0000,SA311,S,R,S,1982-84=100,Apparel less footwear in U.S. city average
CUSR0000SAA,0000,SAA,S,R,S,1982-84=100,Apparel in U.S. city average
CUSR0000SAA1,0000,SAA1,S,R,S,1982-84=100,Men's and boys' apparel in U.S. city average
CUSR0000SAA2,0000,SAA2,S,R,S,1982-84=100,Women's and girls' apparel in U.S. city average
CUSR0000SAC,0000,SAC,S,R,S,1982-84=100,Commodities in U.S. city average
CUSR0000SACE,0000,SACE,S,R,S,1982-84=100,Energy commodities in U.S. city average
CUSR0000SACL1,0000,SACL1,S,R,S,1982-84=100,Commodities less food in U.S. city average
CUSR0000SACL11,0000,SACL11,S,R,S,1982-84=100,Commodities less food and beverages in U.S. city average
CUSR0000SACL1E,0000,SACL1E,S,R,S,1982-84=100,Commodities less food and energy commodities in U.S. city average
CUSR0000SACL1E4,0000,SACL1E4,S,R,S,1982-84=100,Commodities less food
CUSR0000SAD,0000,SAD,S,R,S,1982-84=100,Durables in U.S. city average
CUSR0000SAE,0000,SAE,S,R,S,DECEMBER 1997=100,Education and communication in U.S. city average
CUSR0000SAE1,0000,SAE1,S,R,S,DECEMBER 1997=100,Education in U.S. city average
CUSR0000SAE2,0000,SAE2,S,R,S,DECEMBER 1997=100,Communication in U.S. city average
CUSR0000SAE21,0000,SAE21,S,R,S,DECEMBER 1997=100,Information and information processing in U.S. city average
CUSR0000SAEC,0000,SAEC,S,R,S,DECEMBER 2009=100,Education and communication commodities in U.S. city average
CUSR0000SAES,0000,SAES,S,R,S,DECEMBER 2009=100,Education and communication services in U.S. city average
CUSR0000SAF,0000,SAF,S,R,S,1982-84=100,Food and beverages in U.S. city average
CUSR0000SAF1,0000,SAF1,S,R,S,1982-84=100,Food in U.S. city average
CUSR0000SAF11,0000,SAF11,S,R,S,1982-84=100,Food at home in U.S. city average
CUSR0000SAF111,0000,SAF111,S,R,S,1982-84=100,Cereals and bakery products in U.S. city average
CUSR0000SAF112,0000,SAF112,S,R,S,1982-84=100,Meats
CUSR0000SAF1121,0000,SAF1121,S,R,S,1982-84=100,Meats
CUSR0000SAF11211,0000,SAF11211,S,R,S,1982-84=100,Meats in U.S. city average
CUSR0000SAF113,0000,SAF113,S,R,S,1982-84=100,Fruits and vegetables in U.S. city average
CUSR0000SAF1131,0000,SAF1131,S,R,S,1982-84=100,Fresh fruits and vegetables in U.S. city average
CUSR0000SAF114,0000,SAF114,S,R,S,1982-84=100,Nonalcoholic beverages and beverage materials in U.S. city average
CUSR0000SAF115,0000,SAF115,S,R,S,1982-84=100,Other food at home in U.S. city average
CUSR0000SAF116,0000,SAF116,S,R,S,1982-84=100,Alcoholic beverages in U.S. city average
CUSR0000SAG,0000,SAG,S,R,S,1982-84=100,Other goods and services in U.S. city average
CUSR0000SAG1,0000,SAG1,S,R,S,1982-84=100,Personal care in U.S. city average
CUSR0000SAGC,0000,SAGC,S,R,S,DECEMBER 2009=100,Other goods in U.S. city average
CUSR0000SAH,0000,SAH,S,R,S,1982-84=100,Housing in U.S. city average
CUSR0000SAH1,0000,SAH1,S,R,S,1982-84=100,Shelter in U.S. city average
CUSR0000SAH2,0000,SAH2,S,R,S,1982-84=100,Fuels and utilities in U.S. city average
CUSR0000SAH21,0000,SAH21,S,R,S,1982-84=100,Household energy in U.S. city average
CUSR0000SAH3,0000,SAH3,S,R,S,1982-84=100,Household furnishings and operations in U.S. city average
CUSR0000SAH31,0000,SAH31,S,R,S,DECEMBER 2009=100,Household furnishings and supplies in U.S. city average
CUSR0000SAM,0000,SAM,S,R,S,1982-84=100,Medical care in U.S. city average
CUSR0000SAM1,0000,SAM1,S,R,S,1982-84=100,Medical care commodities in U.S. city average
CUSR0000SAM2,0000,SAM2,S,R,S,1982-84=100,Medical care services in U.S. city average
